"CBO ID","Occupation","Course ID","Course"
4131,"Accounting Assistants","344C01","Accounting"
4131,"Accounting Assistants","344C03","Accounting and costs"
2348,"Economics Professors","344C02","Accounting science"
2522,"Accountants","344C02","Accounting science"
4102,"Financial Supervisors","344C02","Accounting science"
4131,"Accounting Assistants","344C02","Accounting science"
2131,"Physicists","441A01","Acoustics"
2031,"Natural Science Researchers","462C01","Actuarial science"
2111,"Mathematicians","462C01","Actuarial science"
2341,"Math Professors","462C01","Actuarial science"
2531,"Public Relations","342P02","Advertising"
2032,"Engineering Researchers",525E04,"Aeronautical engineering"
2144,"Mechanical Engineers",525E04,"Aeronautical engineering"
2343,"Architecture and Engineering Professors",525E04,"Aeronautical engineering"
2032,"Engineering Researchers",525E03,"Aerospace engineering"
2144,"Mechanical Engineers",525E03,"Aerospace engineering"
2343,"Architecture and Engineering Professors",525E03,"Aerospace engineering"
2144,"Mechanical Engineers","525T01","Aerospace technology"
2034,"Agricultural Researchers","621C02","Agrarian sciences"
2034,"Agricultural Researchers","621A03","Agribusiness"
2034,"Agricultural Researchers",621E02,"Agricultural companies / agribusiness operations"
2034,"Agricultural Researchers","621A06","Agricultural ecology"
2034,"Agricultural Researchers",621E03,"Agricultural engineering"
2221,"Agricultural Engineers",621E03,"Agricultural engineering"
2034,"Agricultural Researchers","621A02","Agricultural exploration"
2034,"Agricultural Researchers","621M02","Agricultural production management"
2034,"Agricultural Researchers","621A01","Agriculture"
2034,"Agricultural Researchers","621A05","Agriculture and livestock"
2034,"Agricultural Researchers","620A01","Agriculture, forest engineering and fishing"
1221,"Agricultural COOs","621A04","Agronomy"
2011,"Biotechnologist","621A04","Agronomy"
2034,"Agricultural Researchers","621A04","Agronomy"
2221,"Agricultural Engineers","621A04","Agronomy"
2321,"High School Teachers","146F01","Agronomy teacher education"
2144,"Mechanical Engineers","525M01","Aircraft maintenance"
2033,"Health Science Researchers","721A01","Anatomy"
2231,"Doctors","721A01","Anatomy"
2344,"Health Science Professors","721A01","Anatomy"
2030,"Biology Researchers","421Z01","Animal biology"
2344,"Health Science Professors","421Z01","Animal biology"
2033,"Health Science Researchers","641R01","Animal breeding (science)"
2344,"Health Science Professors","641R01","Animal breeding (science)"
2033,"Health Science Researchers","641C02","Animal health care"
2034,"Agricultural Researchers","621M03","Animal raising management"
2034,"Agricultural Researchers","621C05","Animals raising/breeding"
2321,"High School Teachers","145F23","Anthropology teacher education"
2031,"Natural Science Researchers","461M02","Applied mathematics"
2111,"Mathematicians","461M02","Applied mathematics"
2341,"Math Professors","461M02","Applied mathematics"
2031,"Natural Science Researchers","441F03","Applied physics"
2131,"Physicists","441F03","Applied physics"
2342,"Science Professors","441F03","Applied physics"
2031,"Natural Science Researchers",462E02,"Applied statistics"
2112,"Statisticians",462E02,"Applied statistics"
2341,"Math Professors",462E02,"Applied statistics"
2034,"Agricultural Researchers","624A01","Aquaculture"
2035,"Social Sciences Researchers","225A01","Archaeology"
2511,"Anthropologists","225A01","Archaeology"
2035,"Social Sciences Researchers","581A01","Architecture"
2141,"Architects and Planners","581A01","Architecture"
2343,"Architecture and Engineering Professors","581A01","Architecture"
2035,"Social Sciences Researchers","581A05","Architecture and urbanism"
2141,"Architects and Planners","581A05","Architecture and urbanism"
2141,"Architects and Planners","581A05","Architecture and urbanism"
2343,"Architecture and Engineering Professors","581A05","Architecture and urbanism"
2343,"Architecture and Engineering Professors","581A05","Architecture and urbanism"
2629,"Interior Designer","581A05","Architecture and urbanism"
2141,"Architects and Planners","581D01","Architecture design"
2347,"Humanities Professors","322A01","Archival science"
2612,"Librarians","322A01","Archival science"
2613,"Archivists","322A01","Archival science"
2624,"Visual Artists",211E03,"Art studies"
2624,"Visual Artists","211D01","Artistic drawing"
2624,"Visual Artists","211D01","Artistic drawing"
2321,"High School Teachers","146F02","Arts teacher education"
2349,"Art Professors","146F02","Arts teacher education"
2614,"Linguists","223C01","Assistive communication"
2031,"Natural Science Researchers","441A03","Astronomy"
2131,"Physicists","441A03","Astronomy"
2133,"Astronomists","441A03","Astronomy"
2342,"Science Professors","441A03","Astronomy"
2031,"Natural Science Researchers","441A02","Astrophysics"
2131,"Physicists","441A02","Astrophysics"
2133,"Astronomists","441A02","Astrophysics"
2032,"Engineering Researchers",525E05,"Automotive engineering"
2144,"Mechanical Engineers",525E05,"Automotive engineering"
2343,"Architecture and Engineering Professors",525E05,"Automotive engineering"
2144,"Mechanical Engineers","525S01","Automotive system (experimental)"
2144,"Mechanical Engineers","525I03","Aviation infrastructure"
2525,"Financial Analysts","343B01","Banking and finance"
2532,"Marketing Consutants","343B01","Banking and finance"
2533,"Stockbrokers","343B01","Banking and finance"
2033,"Health Science Researchers",723E02,"Basic nursing"
2235,"Nurses",723E02,"Basic nursing"
2031,"Natural Science Researchers","482S01","Basic software"
2347,"Humanities Professors","322B01","Bibliotechnology"
2612,"Librarians","322B01","Bibliotechnology"
2523,"Executives","220L05","Bilingual executive secretary"
2032,"Engineering Researchers",524E01,"Biochemical engineering"
2132,"Chemists",524E01,"Biochemical engineering"
2145,"Chemical Engineers",524E01,"Biochemical engineering"
2343,"Architecture and Engineering Professors",524E01,"Biochemical engineering"
2033,"Health Science Researchers","727F02","Biochemical pharmacy"
2145,"Chemical Engineers","524T04","Biochemical technologies"
2011,"Biotechnologist","421B09","Biochemistry"
2030,"Biology Researchers","421B09","Biochemistry"
2234,"Pharmacists","421B09","Biochemistry"
2344,"Health Science Professors","421B09","Biochemistry"
2030,"Biology Researchers","421C01","Biological sciences"
2211,"Biologists","421C01","Biological sciences"
2344,"Health Science Professors","421C01","Biological sciences"
1221,"Agricultural COOs","421B02","Biology"
2011,"Biotechnologist","421B02","Biology"
2030,"Biology Researchers","421B02","Biology"
2211,"Biologists","421B02","Biology"
2344,"Health Science Professors","421B02","Biology"
2030,"Biology Researchers","421B04","Biology - medical modality"
2211,"Biologists","421B04","Biology - medical modality"
2344,"Health Science Professors","421B04","Biology - medical modality"
2321,"High School Teachers","145F01","Biology teacher education"
2011,"Biotechnologist",520E08,"Biomedical engineering"
2032,"Engineering Researchers",520E08,"Biomedical engineering"
2343,"Architecture and Engineering Professors",520E08,"Biomedical engineering"
2011,"Biotechnologist","421B07","Biomedicine"
2030,"Biology Researchers","421B07","Biomedicine"
2212,"Biomedical Scientists","421B07","Biomedicine"
2344,"Health Science Professors","421B07","Biomedicine"
2030,"Biology Researchers","421B01","Biophysics"
2131,"Physicists","421B01","Biophysics"
2344,"Health Science Professors","421B01","Biophysics"
2031,"Natural Science Researchers","442Q09","Biotechnology chemistry"
2132,"Chemists","442Q09","Biotechnology chemistry"
2342,"Science Professors","442Q09","Biotechnology chemistry"
2011,"Biotechnologist",524E02,"Biotechnology engineering"
2032,"Engineering Researchers",524E02,"Biotechnology engineering"
2132,"Chemists",524E02,"Biotechnology engineering"
2145,"Chemical Engineers",524E02,"Biotechnology engineering"
2343,"Architecture and Engineering Professors",524E02,"Biotechnology engineering"
2033,"Health Science Researchers","727F03","Bromatological pharmacy"
8103,"Pharmacuetical Production Supervisors","727F03","Bromatological pharmacy"
8103,"Pharmacuetical Production Supervisors","727F03","Bromatological pharmacy"
2142,"Civil Engineers","582T02","Building technology"
2331,"Vocational Teachers","146F27","Business administration teacher education"
2332,"Vocational Instructors","146F27","Business administration teacher education"
2525,"Financial Analysts","343M01","Capital markets"
2532,"Marketing Consutants","343M01","Capital markets"
2533,"Stockbrokers","343M01","Capital markets"
2032,"Engineering Researchers",582E02,"Cartographic engineering"
2032,"Engineering Researchers",524E07,"Chemical engineering"
2132,"Chemists",524E07,"Chemical engineering"
2145,"Chemical Engineers",524E07,"Chemical engineering"
2343,"Architecture and Engineering Professors",524E07,"Chemical engineering"
2032,"Engineering Researchers",524E05,"Chemical industry engineering"
2132,"Chemists",524E05,"Chemical industry engineering"
2145,"Chemical Engineers",524E05,"Chemical industry engineering"
2343,"Architecture and Engineering Professors",524E05,"Chemical industry engineering"
2032,"Engineering Researchers",524E03,"Chemical processes engineering"
2132,"Chemists",524E03,"Chemical processes engineering"
2145,"Chemical Engineers",524E03,"Chemical processes engineering"
2343,"Architecture and Engineering Professors",524E03,"Chemical processes engineering"
2032,"Engineering Researchers",524E04,"Chemical production engineering"
2132,"Chemists",524E04,"Chemical production engineering"
2145,"Chemical Engineers",524E04,"Chemical production engineering"
2343,"Architecture and Engineering Professors",524E04,"Chemical production engineering"
2145,"Chemical Engineers","524T03","Chemical technology"
2011,"Biotechnologist","442Q01","Chemistry"
2031,"Natural Science Researchers","442Q01","Chemistry"
