"HS ID","Product","CNAE ID","Industry"
"010305","Fish, dried, salted or in brine","c10201","Manufacture of fish products"
"021001","Wheat","a01113","Cereal grains growing"
"021002","Rye","a01113","Cereal grains growing"
"021003","Barley","a01113","Cereal grains growing"
"021004","Oats","a01113","Cereal grains growing"
"021005","Corn","a01113","Cereal grains growing"
"021006","Rice","a01113","Cereal grains growing"
"021006","Rice","c10619","Manufacture of rice products"
"021007","Sorghum","a01113","Cereal grains growing"
"021008","Buckwheat","a01113","Cereal grains growing"
"021102","Cereal Flours","c10643","Manufacture of corn flour and other products"
"021102","Cereal Flours","c10694","Milling and manufacture of other vegetable products"
"021103","Cereal Meal and Pellets","c10619","Manufacture of rice products"
"021103","Cereal Meal and Pellets","c10627","Wheat milling and manufacture of wheat products"
"021103","Cereal Meal and Pellets","c10643","Manufacture of corn flour and other products"
"021104","Processed Cereals","c10643","Manufacture of corn flour and other products"
"021104","Processed Cereals","c10694","Milling and manufacture of other vegetable products"
"021105","Potato Flours","c10325","Vegetables canning"
"021106","Legume Flours","c10635","Manufacture of cassava flour"
"021106","Legume Flours","c10694","Milling and manufacture of other vegetable products"
"021107","Malt","c11135","Production of malt, beer and draft beer"
"021108","Starches and Inulin","c10651","Manufacture of starch and corn oil"
"021109","Wheat Gluten","c10651","Manufacture of starch and corn oil"
"021202","Ground Nuts","a01164","Growing of oilseed crops"
"021202","Ground Nuts","a01199","Growing of other non-perennial crops"
"021202","Ground Nuts","c10317","Fruits canning"
"021203","Copra","a01164","Growing of oilseed crops"
"021205","Rapeseed","a01164","Growing of oilseed crops"
"021206","Sunflower Seeds","a01164","Growing of oilseed crops"
"021207","Other Oily Seeds","a01164","Growing of oilseed crops"
"021207","Other Oily Seeds","a01211","Horticulture"
"021208","Oil Seed Flower","c10414","Manufacture of crude seed oils"
"021209","Sowing Seeds","a01199","Growing of other non-perennial crops"
"021209","Sowing Seeds","a01211","Horticulture"
"021210","Hops","a01393","Growing of other perennial fruit crops"
"021211","Perfume Plants","a01199","Growing of other non-perennial crops"
"021211","Perfume Plants","a01211","Horticulture"
"021212","Locust Beans","a01211","Horticulture"
"021212","Locust Beans","a03116","Saltwater fishing"
"021212","Locust Beans","c10317","Fruits canning"
"021213","Cereal Straws","c10694","Milling and manufacture of other vegetable products"
"021214","Forage Crops","a01199","Growing of other non-perennial crops"
"021214","Forage Crops","c10660","Manufacture of animal feeds"
"021301","Insect Resins","a02209","Forest production - native forests"
"021302","Vegetable Saps","c10996","Manufacture of other food products"
"021401","Vegetable Plaiting Materials","a01121","Growing of herbaceous cotton"
"021401","Vegetable Plaiting Materials","a02209","Forest production - native forests"
"021404","Other Vegetable Products","a01121","Growing of herbaceous cotton"
"021404","Other Vegetable Products","a01199","Growing of other non-perennial crops"
"031501","Pig and Poultry Fat","c10121","Slaughtering of swine and poultry"
"031502","Bovine, Sheep, and Goat Fat","c10112","Cattle slaughtering"
"031503","Lard","c10431","Manufacture of margarine and other vegetable fats"
"031504","Fish Oil","c10431","Manufacture of margarine and other vegetable fats"
"031506","Other Animal Fats","c10431","Manufacture of margarine and other vegetable fats"
"031507","Soybean Oil","c10414","Manufacture of crude seed oils"
"031507","Soybean Oil","c10422","Manufacture of refined vegetable oils"
"031508","Ground Nut Oil","c10414","Manufacture of crude seed oils"
"031508","Ground Nut Oil","c10422","Manufacture of refined vegetable oils"
"031509","Pure Olive Oil","c10422","Manufacture of refined vegetable oils"
"031510","Olive Oil","c10422","Manufacture of refined vegetable oils"
"031511","Palm Oil","c10422","Manufacture of refined vegetable oils"
"031512","Seed Oils","c10414","Manufacture of crude seed oils"
"031512","Seed Oils","c10422","Manufacture of refined vegetable oils"
"031513","Coconut Oil","c10414","Manufacture of crude seed oils"
"031513","Coconut Oil","c10422","Manufacture of refined vegetable oils"
"031514","Rapeseed Oil","c10414","Manufacture of crude seed oils"
"031514","Rapeseed Oil","c10422","Manufacture of refined vegetable oils"
"031515","Other Pure Vegetable Oils","c10414","Manufacture of crude seed oils"
"031515","Other Pure Vegetable Oils","c10422","Manufacture of refined vegetable oils"
"031515","Other Pure Vegetable Oils","c10651","Manufacture of starch and corn oil"
"031516","Other Vegetable Oils","c10422","Manufacture of refined vegetable oils"
"031516","Other Vegetable Oils","c10431","Manufacture of margarine and other vegetable fats"
"031517","Margarine","c10431","Manufacture of margarine and other vegetable fats"
"031521","Vegetable waxes","c10422","Manufacture of refined vegetable oils"
"031521","Vegetable waxes","c10431","Manufacture of margarine and other vegetable fats"
"031522","Fat and Oil Residues","c10431","Manufacture of margarine and other vegetable fats"
"041601","Sausages","c10112","Cattle slaughtering"
"041602","Other Prepared Meat","c10112","Cattle slaughtering"
"041602","Other Prepared Meat","c10121","Slaughtering of swine and poultry"
"041602","Other Prepared Meat","c10139","Meat processing"
"041602","Other Prepared Meat","c10961","Production of foods and ready-made meals"
"041603","Animal Extracts","c10996","Manufacture of other food products"
"041604","Processed Fish","c10201","Manufacture of fish products"
"041605","Prepared Seafood","c10201","Manufacture of fish products"
"041701","Raw Sugar","c10716","Production of raw sugar"
"041701","Raw Sugar","c10724","Production of refined sugar"
"041702","Other Sugars","c10520","Manufacture of dairy products"
"041702","Other Sugars","c10651","Manufacture of starch and corn oil"
"041702","Other Sugars","c10724","Production of refined sugar"
"041703","Molasses","c10716","Production of raw sugar"
"041704","Confectionery Sugar","c10937","Manufacture of cocoa products"
"041801","Cocoa Beans","c10937","Manufacture of cocoa products"
"041802","Cocoa Shells","c10937","Manufacture of cocoa products"
"041803","Cocoa Paste","c10937","Manufacture of cocoa products"
"041804","Cocoa Butter","c10937","Manufacture of cocoa products"
"041805","Cocoa Powder","c10937","Manufacture of cocoa products"
"041806","Chocolate","c10937","Manufacture of cocoa products"
"041901","Malt Extract","c10520","Manufacture of dairy products"
"041901","Malt Extract","c10627","Wheat milling and manufacture of wheat products"
"041901","Malt Extract","c10996","Manufacture of other food products"
"041902","Pasta","c10945","Manufacture of pasta"
"041903","Tapioca","c10651","Manufacture of starch and corn oil"
"041904","Prepared Cereals","c10619","Manufacture of rice products"
"041904","Prepared Cereals","c10627","Wheat milling and manufacture of wheat products"
"041905","Baked Goods","c10911","Manufacture of bakery products"
"041905","Baked Goods","c10929","Manufacture of cookies and crackers"
"042001","Pickled Foods","c10325","Vegetables canning"
"042002","Processed Tomatoes","c10317","Fruits canning"
"042003","Processed Mushrooms","c10325","Vegetables canning"
"042004","Other Frozen Vegetables","c10325","Vegetables canning"
"042005","Other Processed Vegetables","c10325","Vegetables canning"
"042005","Other Processed Vegetables","c10996","Manufacture of other food products"
"042006","Sugar Preserved Foods","c10937","Manufacture of cocoa products"
"042007","Jams","c10317","Fruits canning"
"042007","Jams","c10961","Production of foods and ready-made meals"
"042008","Other Processed Fruits and Nuts","c10317","Fruits canning"
"042008","Other Processed Fruits and Nuts","c10325","Vegetables canning"
"042009","Fruit Juice","c10333","Manufacture of fruit and vegetable juice"
"042101","Coffee and Tea Extracts","c10121","Slaughtering of swine and poultry"
"042101","Coffee and Tea Extracts","c10821","Manufacture of coffee-based products"
"042101","Coffee and Tea Extracts","c10996","Manufacture of other food products"
"042102","Yeast","c10112","Cattle slaughtering"
"042102","Yeast","c10996","Manufacture of other food products"
"042103","Sauces and Seasonings","c10953","Production of spices and condiments"
"042104","Soups and Broths","c10961","Production of foods and ready-made meals"
"042104","Soups and Broths","c10996","Manufacture of other food products"
"042106","Other Edible Preparations","c10937","Manufacture of cocoa products"
"042106","Other Edible Preparations","c10961","Production of foods and ready-made meals"
"042106","Other Edible Preparations","c10996","Manufacture of other food products"
"042106","Other Edible Preparations","c11224","Production of soft drinks and other non-alcoholic beverages"
"042201","Water","c10996","Manufacture of other food products"
"042201","Water","c11216","Production of bottled water"
"042202","Flavored Water","c11224","Production of soft drinks and other non-alcoholic beverages"
"042203","Beer","c11135","Production of malt, beer and draft beer"
"042204","Wine","c11127","Production of wine"
"042205","Vermouth","c11127","Production of wine"
"042206","Other Fermented Beverages","c11127","Production of wine"
"042207","Alcohol > 80% ABV","c11119","Manufacture of distilled beverages"
"042207","Alcohol > 80% ABV","c19314","Ethanol production"
"042208","Alcohol < 80% ABV","c11119","Manufacture of distilled beverages"
"042209","Vinegar","c10996","Manufacture of other food products"
"042301","Animal Meal and Pellets","c10112","Cattle slaughtering"
"042301","Animal Meal and Pellets","c10139","Meat processing"
"042301","Animal Meal and Pellets","c10201","Manufacture of fish products"
"042302","Bran","c10619","Manufacture of rice products"
"042302","Bran","c10627","Wheat milling and manufacture of wheat products"
"042302","Bran","c10643","Manufacture of corn flour and other products"
"042302","Bran","c10694","Milling and manufacture of other vegetable products"
"042303","Starch Residue","c10651","Manufacture of starch and corn oil"
"042303","Starch Residue","c10716","Production of raw sugar"
"042303","Starch Residue","c11119","Manufacture of distilled beverages"
"042304","Soybean Meal","c10414","Manufacture of crude seed oils"
"042305","Ground Nut Meal","c10414","Manufacture of crude seed oils"
"042306","Oil-cake vegetable","c10414","Manufacture of crude seed oils"
"042306","Oil-cake vegetable","c10651","Manufacture of starch and corn oil"
"042307","Wine Lees","c11127","Production of wine"
"042308","Vegetable Residues","c10317","Fruits canning"
"042309","Animal Food","c10660","Manufacture of animal feeds"
"042401","Raw Tobacco","a01148","Tobacco growing"
"042401","Raw Tobacco","c12107","Industrial processing of tobacco"
"042402","Rolled Tobacco","c12204","Production of tobacco products"
"042403","Processed Tobacco","c12204","Production of tobacco products"
"052501","Salt","b08924","Extraction and refining of sea salt"
"052502","Iron Pyrites","b08916","Extraction of minerals for the production of fertilizers"
"052504","Graphite","b08991","Extraction of other non-metallic minerals"
"052505","Sand","b08100","Extraction of stone, sand and clay"
"052506","Quartz","b08991","Extraction of other non-metallic minerals"
"052508","Clays","b08100","Extraction of stone, sand and clay"
"052509","Chalk","b08100","Extraction of stone, sand and clay"
"052510","Calcium Phosphates","b08916","Extraction of minerals for the production of fertilizers"
"052511","Barium Sulphate","b08916","Extraction of minerals for the production of fertilizers"
"052512","Siliceous Fossil Meals","b08991","Extraction of other non-metallic minerals"
"052513","Pumice","b08991","Extraction of other non-metallic minerals"
"052514","Slate","b08100","Extraction of stone, sand and clay"
"052515","Marble, Travertine and Alabaster","b08100","Extraction of stone, sand and clay"
"052516","Granite","b08100","Extraction of stone, sand and clay"
"052517","Gravel and Crushed Stone","b08100","Extraction of stone, sand and clay"
"052518","Dolomite","b08100","Extraction of stone, sand and clay"
"052519","Magnesium Carbonate","b08991","Extraction of other non-metallic minerals"
"052520","Gypsum","b08100","Extraction of stone, sand and clay"
"052521","Limestone","b08100","Extraction of stone, sand and clay"
"052522","Quicklime","c23923","Manufacture of lime and plaster"
"052523","Cement","c23206","Manufacture of cement"
"052524","Asbestos","b08991","Extraction of other non-metallic minerals"
"052525","Mica","b08991","Extraction of other non-metallic minerals"
"052526","Soapstone","b08991","Extraction of other non-metallic minerals"
"052528","Borax","b08916","Extraction of minerals for the production of fertilizers"
"052529","Feldspar","b08916","Extraction of minerals for the production of fertilizers"
"052529","Feldspar","b08991","Extraction of other non-metallic minerals"
"052530","Other Mineral","b08916","Extraction of minerals for the production of fertilizers"
"052530","Other Mineral","b08991","Extraction of other non-metallic minerals"
"052601","Iron Ore","b07103","Extraction of iron ore"
"052601","Iron Ore","c20193","Manufacture of other inorganic chemicals"
"052604","Nickel Ore","b07294","Extraction of other nonferrous metals"
"052605","Cobalt Ore","b07294","Extraction of other nonferrous metals"
"052606","Aluminium Ore","b07219","Extraction of aluminum ore"
"052607","Lead Ore","b07294","Extraction of other nonferrous metals"
"052608","Zinc Ore","b07294","Extraction of other nonferrous metals"
"052609","Tin Ores","b07227","Extraction of tin ore"
"052610","Chromium Ore","b07294","Extraction of other nonferrous metals"
"052611","Tungsten Ore","b07294","Extraction of other nonferrous metals"
"052612","Uranium and Thorium Ore","b07251","Extraction of radioactive metals"
"052613","Molybdenum Ore","b07294","Extraction of other nonferrous metals"
"052614","Titanium Ore","b07294","Extraction of other nonferrous metals"
"052615","Niobium, Tantalum, Vanadium and Zirconium Ore","b07294","Extraction of other nonferrous metals"
"052616","Precious Metal Ore","b07243","Extraction of precious metal ores"
"052617","Other Ores","b07294","Extraction of other nonferrous metals"
"052618","Granulated Slag","c24113","Production of pig iron"
"052619","Slag Dross","c24229","Production of flat-rolled steel products"
"052620","Non-Iron and Steel Slag, Ash and Residues","c24415","Metallurgy of aluminum and alloys"
"052620","Non-Iron and Steel Slag, Ash and Residues","c24431","Metallurgy of copper"
"052620","Non-Iron and Steel Slag, Ash and Residues","c24491","Metallurgy of other nonferrous metals and alloys"
"052621","Other Slag and Ash","b08991","Extraction of other non-metallic minerals"
"052701","Coal Briquettes","b05003","Coal extraction"
"052702","Lignite","b05003","Coal extraction"
"052703","Peat","b08991","Extraction of other non-metallic minerals"
"052705","Non-Petroleum Gas","c19101","Coke ovens"
"052706","Tar","c19101","Coke ovens"
"052707","Coal Tar Oil","c20223","Manufacture of intermediates for plasticizers, resins and fibers"
"052707","Coal Tar Oil","c20291","Manufacture of other organic chemicals"
"052708","Pitch Coke","c20291","Manufacture of other organic chemicals"
"052710","Refined Petroleum","c19217","Manufacture of crude oil refining products"
"052710","Refined Petroleum","c19225","Manufacture of products from crude oil"
"052710","Refined Petroleum","e38394","Recovery of other materials"
"052711","Petroleum Gas","b06000","Extraction of oil and natural gas"
"052711","Petroleum Gas","c19217","Manufacture of crude oil refining products"
"052712","Petroleum Jelly","c19217","Manufacture of crude oil refining products"
"052712","Petroleum Jelly","c19225","Manufacture of products from crude oil"
"052713","Petroleum Coke","c19217","Manufacture of crude oil refining products"
"052713","Petroleum Coke","c19225","Manufacture of products from crude oil"
"052714","Bitumen and asphalt","b06000","Extraction of oil and natural gas"
"052714","Bitumen and asphalt","b08991","Extraction of other non-metallic minerals"
"052715","Asphalt Mixtures","c23991","Manufacture of other non-metallic mineral products"
"052716","Electricity","d35115","Production of electricity"
"062801","Halogens","c20118","Manufacture of chlor-alkali"
"062801","Halogens","c20193","Manufacture of other inorganic chemicals"
"062802","Sulphur, sublimed or precipitated","c20193","Manufacture of other inorganic chemicals"
"062803","Carbon","c20291","Manufacture of other organic chemicals"
"062804","Hydrogen","c20142","Manufacture of industrial gases"
"062804","Hydrogen","c20193","Manufacture of other inorganic chemicals"
"062804","Hydrogen","c20991","Manufacture of other chemicals"
"062805","Alkaline Metals","c20193","Manufacture of other inorganic chemicals"
"062806","Hydrochloric Acid","c20193","Manufacture of other inorganic chemicals"
"062808","Nitric Acids","c20126","Manufacture of intermediates for fertilizer production"
"062808","Nitric Acids","c20193","Manufacture of other inorganic chemicals"
"062809","Phosphoric Acid","c20126","Manufacture of intermediates for fertilizer production"
"062809","Phosphoric Acid","c20193","Manufacture of other inorganic chemicals"
"062810","Boron","c20193","Manufacture of other inorganic chemicals"
"062811","Other Inorganic Acids","c20142","Manufacture of industrial gases"
"062811","Other Inorganic Acids","c20193","Manufacture of other inorganic chemicals"
"062812","Halides","c20193","Manufacture of other inorganic chemicals"
"062813","Nonmetal Sulfides","c20193","Manufacture of other inorganic chemicals"
"062814","Ammonia","c20126","Manufacture of intermediates for fertilizer production"
"062815","Sodium or Potassium Peroxides","c20118","Manufacture of chlor-alkali"
"062815","Sodium or Potassium Peroxides","c20193","Manufacture of other inorganic chemicals"
