"HS ID","Produto","CNAE ID","Atividade Econômica"
"010305","Peixes secos, salgados ou em salmoura","c10201","Fabricação de produtos do pescado"
"021001","Trigo","a01113","Cultivo de cereais"
"021002","Centeio","a01113","Cultivo de cereais"
"021003","Cevada","a01113","Cultivo de cereais"
"021004","Aveia","a01113","Cultivo de cereais"
"021005","Milho","a01113","Cultivo de cereais"
"021006","Arroz","a01113","Cultivo de cereais"
"021006","Arroz","c10619","Fabricação de produtos do arroz"
"021007","Sorgo","a01113","Cultivo de cereais"
"021008","Trigo sarraceno","a01113","Cultivo de cereais"
"021102","Farinhas de cereais","c10643","Fabricação de farinha de milho e derivados"
"021102","Farinhas de cereais","c10694","Moagem e fabricação de outros produtos de origem vegetal"
"021103","Refeições e pelotas de cereais","c10619","Fabricação de produtos do arroz"
"021103","Refeições e pelotas de cereais","c10627","Moagem de trigo e fabricação de derivados"
"021103","Refeições e pelotas de cereais","c10643","Fabricação de farinha de milho e derivados"
"021104","Cereais processados","c10643","Fabricação de farinha de milho e derivados"
"021104","Cereais processados","c10694","Moagem e fabricação de outros produtos de origem vegetal"
"021105","Farinhas de batata","c10325","Fabricação de conservas de legumes e outros vegetais"
"021106","Farinhas de legumes","c10635","Fabricação de farinha de mandioca"
"021106","Farinhas de legumes","c10694","Moagem e fabricação de outros produtos de origem vegetal"
"021107","Malte","c11135","Fabricação de malte, cervejas e chopes"
"021108","Amidos ou féculas","c10651","Fabricação de amidos e óleos de milho"
"021109","Glúten de trigo","c10651","Fabricação de amidos e óleos de milho"
"021202","Amendoim","a01164","Cultivo de oleaginosas"
"021202","Amendoim","a01199","Cultivo de outras plantas de lavoura temporária"
"021202","Amendoim","c10317","Fabricação de conservas de frutas"
"021203","Copra","a01164","Cultivo de oleaginosas"
"021205","Canola","a01164","Cultivo de oleaginosas"
"021206","Sementes de girassol","a01164","Cultivo de oleaginosas"
"021207","Outras sementes oleaginosas","a01164","Cultivo de oleaginosas"
"021207","Outras sementes oleaginosas","a01211","Horticultura"
"021208","Farinhas de sementes oleaginosas","c10414","Fabricação de óleos vegetais em bruto"
