CODE	MUNICIPALITY	Mesoregion	Number of Mesoregion	Microregion	Number of Microregion	Planning Region	Number of Planning Region
310010	Abadia dos Dourados	Triângulo Mineiro/Alto Paranaíba	5	Patrocínio	19	Alto Paranaíba	1
310380	Arapuá	Triângulo Mineiro/Alto Paranaíba	5	Patos de Minas	20	Alto Paranaíba	1
310400	Araxá	Triângulo Mineiro/Alto Paranaíba	5	Araxá	23	Alto Paranaíba	1
311150	Campos Altos	Triângulo Mineiro/Alto Paranaíba	5	Araxá	23	Alto Paranaíba	1
311430	Carmo do Paranaíba	Triângulo Mineiro/Alto Paranaíba	5	Patos de Minas	20	Alto Paranaíba	1
311930	Coromandel	Triângulo Mineiro/Alto Paranaíba	5	Patrocínio	19	Alto Paranaíba	1
312070	Cruzeiro da Fortaleza	Triângulo Mineiro/Alto Paranaíba	5	Patrocínio	19	Alto Paranaíba	1
312350	Douradoquara	Triângulo Mineiro/Alto Paranaíba	5	Patrocínio	19	Alto Paranaíba	1
312480	Estrela do Sul	Triângulo Mineiro/Alto Paranaíba	5	Patrocínio	19	Alto Paranaíba	1
312790	Grupiara	Triângulo Mineiro/Alto Paranaíba	5	Patrocínio	19	Alto Paranaíba	1
312890	Guimarânia	Triângulo Mineiro/Alto Paranaíba	5	Patos de Minas	20	Alto Paranaíba	1
312950	Ibiá	Triângulo Mineiro/Alto Paranaíba	5	Araxá	23	Alto Paranaíba	1
313160	Iraí de Minas	Triângulo Mineiro/Alto Paranaíba	5	Patrocínio	19	Alto Paranaíba	1
313750	Lagoa Formosa	Triângulo Mineiro/Alto Paranaíba	5	Patos de Minas	20	Alto Paranaíba	1
314120	Matutina	Triângulo Mineiro/Alto Paranaíba	5	Patos de Minas	20	Alto Paranaíba	1
314310	Monte Carmelo	Triângulo Mineiro/Alto Paranaíba	5	Patrocínio	19	Alto Paranaíba	1
314500	Nova Ponte	Triângulo Mineiro/Alto Paranaíba	5	Araxá	23	Alto Paranaíba	1
314800	Patos de Minas	Triângulo Mineiro/Alto Paranaíba	5	Patos de Minas	20	Alto Paranaíba	1
314810	Patrocínio	Triângulo Mineiro/Alto Paranaíba	5	Patrocínio	19	Alto Paranaíba	1
314920	Pedrinópolis	Triângulo Mineiro/Alto Paranaíba	5	Araxá	23	Alto Paranaíba	1
314980	Perdizes	Triângulo Mineiro/Alto Paranaíba	5	Araxá	23	Alto Paranaíba	1
