id,name_en,desc_en,keywords_en,name_pt,desc_pt,keywords_pt
~X~01,Animal Products,Live Animals; Animal Products,NULL,Produtos de Origem Animal,NULL,NULL
~X~0101,Live Animals,live animals; animal products,NULL,animais vivos e produtos animais,animais vivos e produtos animais,NULL
~X~010101,Horses,"live horses, asses, mules and hinnies.",NULL,Cavalos,"animais vivos, asinino e muar.",NULL
~X~010102,Bovine,live bovine animals.,NULL,Bovinos,os bovinos vivos.,NULL
~X~010103,Pigs,live swine.,NULL,Suíno,viva suína.,NULL
~X~010104,Sheep and Goats,live sheep and goats.,NULL,Ovelha,ovinos e caprinos vivos.,NULL
~X~010105,Poultry,"live poultry, that is to say, fowls of the species gallus domesticus, ducks, geese, turkeys and guinea fowls.",NULL,Aves (<185 gramas),"aves de capoeira vivas, ou seja, aves dos galos, galinhas, patos, gansos, perus e pintadas.",NULL
~X~010106,Other Animals,other live animals.,NULL,"Os animais vivos, exceto os animais de criação",outros animais vivos.,NULL
~X~0102,Meat,meat and edible meat offal,NULL,"carnes e miudezas, comestíveis","carnes e miudezas, comestíveis",NULL
~X~010201,Bovine Meat,"meat of bovine animals, fresh or chilled.",NULL,Carne bovina,"carnes de animais da espécie bovina, frescas ou refrigeradas.",NULL
~X~010202,Frozen Bovine Meat,"meat of bovine animals, frozen.",NULL,Carne bovina (congelada),"carnes de animais da espécie bovina, congeladas.",NULL
~X~010203,Pig Meat,"meat of swine, fresh, chilled or frozen.",NULL,Carne suína,"a carne de suínos, frescas, refrigeradas ou congeladas.",NULL
~X~010204,Sheep and Goat Meat,"meat of sheep or goats, fresh, chilled or frozen.",NULL,Carne de cordeiro,"a carne de ovinos ou de caprinos, frescas, refrigeradas ou congeladas.",NULL
~X~010205,Horse Meat,"meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",NULL,"Cavalo, burro, mula, ou carne hinny","a carne de cavalos, jumentos, mulas e muar, frescas, refrigeradas ou congeladas.",NULL
~X~010206,Edible Offal,"edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen.",NULL,Miudezas comestíveis de animais,"miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.",NULL
~X~010207,Poultry Meat,"meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.",NULL,Aves domésticas,"carnes e miudezas comestíveis, das aves da posição 01.05, frescas, refrigeradas ou congeladas.",NULL
~X~010208,Other Meat,"other meat and edible meat offal, fresh, chilled or frozen.",NULL,"Outras carnes e miudezas, comestíveis","outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.",NULL
~X~010209,Animal Fat,"pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked.",NULL,Porco e gordura de aves,"fat pig, livre de carne magra e gordura de aves, não fundidas nem extraídas de outro modo, frescas, refrigeradas, congeladas, salgadas ou em salmoura, secos ou defumados.",NULL
