"year","hs4","pci"
2000,9706,-0.500967
2000,9611,0.733999
2000,9609,0.613457
2000,9606,-0.54346
2000,9605,-1.111939
2000,9603,-1.143195
2000,9602,-1.290764
2000,9507,-0.743269
2000,9503,-0.210148
2000,9404,0.208048
2000,9403,-0.303392
2000,9401,-0.219289
2000,9303,0.549072
2000,9301,0.165706
2000,9209,0.648833
2000,9203,-0.786087
2000,9201,0.257298
2000,9108,-0.309896
2000,9104,0.029008
2000,9033,0.68529
2000,9032,1.045233
2000,9030,1.754188
2000,9029,1.145294
2000,9028,0.243965
2000,9027,2.0835
2000,9025,0.906493
2000,9022,1.632986
2000,9021,1.792987
2000,9019,0.570874
2000,9018,1.417188
2000,9017,1.467819
2000,9014,0.103543
2000,9009,0.710335
2000,9008,1.817071
2000,9007,-0.530282
2000,9006,-0.162598
2000,9005,0.193634
2000,9004,0.206427
2000,9001,0.7355
2000,8908,-0.764933
2000,8906,0.419521
2000,8904,0.325707
2000,8902,-0.086375
2000,8803,1.192441
2000,8802,0.317839
2000,8801,1.613406
2000,8716,0.597001
2000,8715,-0.047906
2000,8714,0.411173
2000,8712,-0.68862
2000,8711,0.84385
2000,8709,1.278448
2000,8708,1.422353
2000,8707,1.193702
2000,8706,0.76523
2000,8705,0.637602
2000,8704,0.860667
2000,8703,1.252382
2000,8702,0.587871
2000,8701,0.97334
2000,8607,0.810996
2000,8605,0.266848
2000,8604,0.600364
2000,8603,1.395386
2000,8602,-0.059011
2000,8601,1.022169
2000,8546,0.622887
2000,8545,0.230451
2000,8544,-0.394636
2000,8542,0.038797
2000,8541,0.176276
2000,8540,0.3979
2000,8539,1.546618
2000,8538,0.627692
2000,8534,0.301863
2000,8533,0.341323
2000,8528,0.32883
2000,8527,-0.911914
2000,8526,1.167516
2000,8525,0.590874
2000,8523,1.764218
2000,8522,0.353155
2000,8520,-0.001563
2000,8519,0.233154
2000,8518,0.058678
2000,8517,0.865051
2000,8515,1.424035
2000,8510,0.828474
2000,8509,0.649914
2000,8508,1.276466
2000,8506,0.66601
2000,8504,-0.437014
2000,8503,0.846732
2000,8502,0.462345
2000,8485,1.090098
2000,8483,1.701935
2000,8482,0.742047
2000,8481,1.252622
2000,8479,0.972139
2000,8475,2.215813
2000,8474,0.988536
2000,8473,0.776101
2000,8471,1.693767
2000,8470,-0.161997
2000,8469,-0.95234
2000,8467,1.865901
2000,8466,1.396347
2000,8465,1.663136
2000,8462,0.868715
2000,8458,1.025473
2000,8457,1.213763
2000,8455,0.852799
2000,8454,0.840426
2000,8453,0.413095
2000,8452,0.387509
2000,8451,0.88361
2000,8450,0.643007
2000,8449,1.285115
2000,8448,1.148537
2000,8445,1.067635
2000,8443,2.099176
2000,8442,1.819654
2000,8441,0.911958
2000,8440,1.545657
2000,8439,1.864099
2000,8438,0.783669
2000,8437,1.288598
2000,8435,1.276706
2000,8434,1.139768
2000,8432,0.575138
2000,8431,0.91346
2000,8425,1.123792
2000,8423,1.669082
2000,8422,0.742407
2000,8421,1.327818
2000,8419,0.172132
2000,8418,0.196216
2000,8417,0.846913
2000,8416,1.231
2000,8415,0.094113
2000,8414,1.150279
2000,8413,1.202411
2000,8411,-0.368786
2000,8410,1.259469
2000,8408,1.165774
2000,8407,0.373215
2000,8406,1.354725
2000,8405,0.862649
2000,8404,0.868354
2000,8402,0.703368
2000,8401,1.078746
2000,8310,0.895862
2000,8304,0.288349
2000,8301,0.530153
2000,8214,-0.177391
2000,8210,-0.874352
2000,8209,1.486678
2000,8206,0.924451
2000,8201,0.062581
2000,8106,-0.928929
2000,8103,0.175075
2000,8007,0.692377
2000,8006,0.444687
2000,8002,-0.951571
2000,8001,-1.066744
2000,7905,0.441263
2000,7901,-0.440528
2000,7804,0.476759
2000,7801,-0.414642
2000,7615,-0.82345
2000,7611,0.42817
2000,7610,0.499762
2000,7604,0.191531
2000,7601,-0.837583
2000,7507,1.225835
2000,7502,-0.027275
2000,7415,1.19076
2000,7413,-0.016098
2000,7410,0.45772
2000,7402,-1.272445
2000,7326,0.611715
2000,7325,0.245646
2000,7324,0.2591
2000,7322,0.898144
2000,7320,1.069918
2000,7319,0.799104
2000,7316,0.978986
2000,7315,0.720245
2000,7314,0.728053
2000,7313,-0.3769
2000,7310,0.14042
2000,7308,0.389011
2000,7307,0.79436
2000,7305,0.357839
2000,7304,0.577301
2000,7303,0.364506
2000,7302,0.633517
2000,7217,0.252133
2000,7216,0.466008
2000,7215,-0.060182
2000,7213,0.385767
2000,7212,0.387029
2000,7209,0.830216
2000,7208,0.029728
2000,7207,-0.551838
2000,7206,0.017776
2000,7205,-0.330539
2000,7204,-0.535868
2000,7202,-0.604388
2000,7201,-0.699611
2000,7118,-0.650677
2000,7115,0.60637
2000,7114,-1.48584
2000,7112,-0.90801
2000,7110,0.812318
2000,7107,-0.493748
2000,7104,-0.564857
2000,7103,-1.746083
2000,7102,-1.517492
2000,7101,-0.463873
2000,7019,-0.383074
2000,7015,0.609913
2000,7014,0.261502
2000,7013,0.152132
2000,7012,-0.427495
2000,7011,0.757242
2000,7010,0.59658
2000,7009,0.674659
2000,7007,0.601205
2000,7005,0.445408
2000,7004,0.326307
2000,7003,0.644929
2000,7002,0.861147
2000,6913,-0.858453
2000,6912,-0.760489
2000,6911,-0.486246
2000,6910,-0.560444
2000,6909,0.73556
2000,6904,-0.546679
2000,6903,1.271421
2000,6814,0.66577
2000,6812,0.426909
2000,6811,0.087867
2000,6806,1.033881
2000,6805,1.474426
2000,6804,1.232622
2000,6801,-0.947986
2000,6603,-0.523039
2000,6504,-1.289863
2000,6502,-0.732993
2000,6406,-0.465621
2000,6405,-1.016941
2000,6310,-0.509514
2000,6306,-0.913037
2000,6305,-1.529204
2000,6302,-0.888946
2000,6301,0.092131
2000,6216,-1.508483
2000,6212,-1.225298
2000,6210,-1.640977
2000,6209,-1.572868
2000,6208,-1.966145
2000,6207,-1.935454
2000,6206,-1.628724
2000,6205,-1.75335
2000,6204,-1.142786
2000,6203,-0.830009
2000,6202,-1.199015
2000,6201,-1.251604
2000,6115,-1.552207
2000,6113,-1.08645
2000,6112,-1.628484
2000,6110,-1.67431
2000,6105,-1.744822
2000,6104,-1.3859
2000,6001,-0.539027
2000,5909,1.29004
2000,5905,0.789555
2000,5904,1.306857
2000,5902,-0.643588
2000,5803,-0.721473
2000,5801,-0.40314
2000,5704,-0.471759
2000,5703,-0.27392
2000,5702,-1.220853
2000,5701,-1.700076
2000,5608,-1.076978
2000,5606,-0.048945
2000,5603,0.940727
2000,5602,0.79478
2000,5601,1.067215
2000,5516,-0.401885
2000,5514,-0.839607
2000,5512,0.171711
2000,5511,0.010089
2000,5510,-0.098333
2000,5509,0.384686
2000,5506,-0.036158
2000,5505,0.220781
2000,5503,0.16985
2000,5502,0.7752
2000,5501,0.181141
2000,5408,0.242163
2000,5310,-1.667283
2000,5309,0.271172
2000,5305,-1.789807
2000,5304,-1.587523
2000,5303,-1.222295
2000,5302,-0.400281
2000,5301,0.027686
2000,5208,-1.343197
2000,5206,-1.31653
2000,5203,-0.928202
2000,5202,-1.679416
2000,5201,-2.255937
2000,5113,-0.342929
2000,5112,0.35892
2000,5110,-0.2007
2000,5105,-0.506679
2000,5104,-0.365098
2000,5102,-1.068323
2000,5101,-1.563799
2000,5007,-0.681887
2000,5004,-0.687455
2000,5002,-1.512868
2000,5001,-1.398873
2000,4908,0.134654
2000,4905,0.421564
2000,4904,1.218147
2000,4902,0.660004
2000,4822,0.656461
2000,4820,-0.490625
2000,4819,0.475798
2000,4818,0.739344
2000,4817,0.868354
2000,4809,1.168357
