"year","hs4","pci"
2000,"0101",0.382093
2000,"0102",-0.250764
2000,"0103",0.255976
2000,"0104",-0.846522
2000,"0105",0.133821
2000,"0106",-1.43158
2000,"0201",-0.0250977
2000,"0202",-0.415622
2000,"0203",0.750672
2000,"0204",-0.589637
2000,"0205",0.603042
2000,"0206",0.0533174
2000,"0207",0.0903857
2000,"0208",-0.21401
2000,"0209",0.838006
2000,"0210",0.460927
2000,"0301",-1.17205
2000,"0302",-1.0821
2000,"0303",-1.3546
2000,"0304",-1.09
2000,"0305",-1.55129
2000,"0306",-1.91518
2000,"0307",-1.63171
2000,"0401",0.310203
2000,"0402",-0.380406
2000,"0403",0.359258
2000,"0404",0.711826
2000,"0405",0.343896
2000,"0406",0.253924
2000,"0407",-1.04456
2000,"0408",0.0446788
2000,"0409",-0.991794
2000,"0410",-0.920932
2000,"0501",-0.910095
2000,"0502",0.899275
2000,"0503",-0.344517
2000,"0504",-0.765509
2000,"0505",-0.463219
2000,"0506",-1.13728
2000,"0507",-1.57177
2000,"0508",-1.21894
2000,"0509",-0.840141
2000,"0510",-0.572013
2000,"0511",-0.400933
2000,"0601",-0.0737418
2000,"0602",-1.14541
2000,"0603",-1.26388
2000,"0604",-1.14333
2000,"0701",-0.679562
2000,"0702",-0.968471
2000,"0703",-1.52869
2000,"0704",-0.722302
2000,"0705",-0.486648
2000,"0706",-0.427658
2000,"0707",-0.86327
2000,"0708",-1.81168
2000,"0709",-1.26567
2000,"0710",-0.899975
2000,"0711",-1.4138
2000,"0712",-1.21394
2000,"0713",-1.63863
2000,"0714",-2.14091
2000,"0801",-2.54826
2000,"0802",-1.41035
2000,"0803",-2.57563
2000,"0804",-1.85674
2000,"0805",-1.20986
2000,"0806",-1.09943
2000,"0807",-1.75787
2000,"0808",-0.286894
2000,"0809",-0.548934
2000,"0810",-1.24507
2000,"0811",-0.753132
2000,"0812",-0.653244
2000,"0813",-1.25817
2000,"0814",-1.25327
2000,"0901",-2.39987
2000,"0902",-1.84398
2000,"0903",-1.03884
2000,"0904",-1.60111
2000,"0905",-1.37496
2000,"0906",-2.20849
2000,"0907",-2.18265
2000,"0908",-1.64612
2000,"0909",-1.57175
2000,"0910",-1.45274
2000,1001,-0.0834031
2000,1002,0.603583
